Id,Id Provincia,Distrito,Zona sismica
1,1,ASUNCIÓN ,2
2,1,BALSAS ,2
3,1,CHACHAPOYAS ,2
4,1,CHETO ,2
5,1,CHILIQUÍN ,2
6,1,CHUQUIBAMBA ,2
7,1,GRANADA ,2
8,1,HUANCAS ,2
9,1,LA JALCA ,2
10,1,LEIMEBAMBA ,2
11,1,LEVANTO ,2
12,1,MAGDALENA ,2
13,1,MARISCAL CASTILLA ,2
14,1,MOLINOPAMPA ,2
15,1,MONTEVIDEO ,2
16,1,OLLEROS ,2
17,1,QUINJALCA ,2
18,1,SAN  FRANCISCO  DE DAGUAS ,2
19,1,SAN ISIDRO DE MAINO ,2
20,1,SOLOCO ,2
21,1,SONCHE ,2
22,2,ARAMANGO ,2
23,2,BAGUA ,2
24,2,COPALLÍN ,2
25,2,EL PARCO ,2
26,2,IMAZA ,2
27,2,LA PECA ,2
28,3,CHISQUILLA ,2
29,3,CHURUJA ,2
30,3,COROSHA ,2
31,3,CUISPES ,2
32,3,FLORIDA ,2
33,3,JAZÁN ,2
34,3,JUMBILLA ,2
35,3,RECTA ,2
36,3,SAN CARLOS ,2
37,3,SHIPASBAMBA ,2
38,3,VALERA ,2
39,3,YAMBRASBAMBA ,2
40,4,EL CENEPA ,2
41,4,NIEVA ,2
42,4,RÍO SANTIAGO ,2
43,5,CAMPORREDONDO ,2
44,5,COCABAMBA ,2
45,5,COLCAMAR ,2
46,5,CONILA ,2
47,5,INGUILPATA ,2
48,5,LÁMUD ,2
49,5,LONGUITA ,2
50,5,LONYA CHICO ,2
51,5,LUYA ,2
52,5,LUYA VIEJO ,2
53,5,MARÍA ,2
54,5,OCALLI ,2
55,5,OCUMAL ,2
56,5,PISUQUIA ,2
57,5,PROVIDENCIA ,2
58,5,SAN CRISTÓBAL ,2
59,5,SAN  FRANCISCO  DEL YESO ,2
60,5,SAN JERÓNIMO ,2
61,5,SAN  JUAN ,2
62,5,LOPECANCHA ,2
63,5,SANTA CATALINA ,2
64,5,SANTO TOMÁS ,2
65,5,TINGO ,2
66,5,TRITA ,2
67,5,BAGUA GRANDE ,2
68,5,CAJARURO ,2
69,5,CUMBA ,2
70,5,EL MILAGRO ,2
71,5,JAMALCA ,2
72,5,LONYA GRANDE ,2
73,5,YAMÓN ,2
74,7,CHIRIMOTO ,2
75,7,COCHAMAL ,2
76,7,HUAMBO ,2
77,7,LIMABAMBA ,2
78,7,LONGAR ,2
79,7,MARISCAL BENAVIDES ,2
80,7,MILPUC ,2
81,7,OMIA ,2
82,7,SAN NICOLÁS ,2
83,7,SANTA ROSA ,2
84,7,TOTORA ,2
85,7,VISTA ALEGRE ,3
86,8,CHACCHO ,2
87,8,CHINGAS ,2
88,8,LLAMELLÍN ,2
89,8,ACZO ,3
90,8,MIRGAS ,3
91,8,SAN JUAN DE RONTOY ,3
92,9,ANRA ,2
93,9,HUACACHI ,2
94,9,HUACCHIS ,2
95,9,PAUCAS ,2
96,9,RAPAYAN ,2
97,9,UCO ,2
98,9,CAJAY ,3
99,9,CHAVÍN DE HUÁNTAR ,3
100,9,HUACHIS ,3
101,9,HUÁNTAR ,3
102,9,HUARI ,3
103,9,MASÍN ,3
104,9,PONTO ,3
105,9,RAHUAPAMPA ,3
106,9,SAN MARCOS ,3
107,9,SAN PEDRO DE CHANA ,3
108,10,ACOCHACA ,3
109,10,CHACAS ,3
110,11,ACOPAMPA ,3
111,11,AMASHCA ,3
112,11,ANTA ,3
113,11,ATAQUERO ,3
114,11,CARHUAZ ,3
115,11,MARCARÁ ,3
116,11,PARIAHUANCA ,3
117,11,SAN MIGUEL DE ACO ,3
118,11,SHILLA ,3
119,11,TINCO ,3
120,11,YUNGAR ,3
121,12,SAN LUIS ,3
122,12,SAN NICOLÁS ,3
123,12,YAUYA ,3
124,13,ACO ,3
125,13,BAMBAS ,3
126,13,CORONGO ,3
127,13,CUSCA ,3
128,13,LA PAMPA ,3
129,13,YÁNAC ,3
130,13,YUPÁN ,3
131,14,CASCA ,3
132,14,ELEAZAR BARRÓN GUZMÁN ,3
133,14,FIDEL  OLIVAS ,3
134,14,ESCUDERO ,3
135,14,LLAMA ,3
136,14,LLUMPA ,3
137,14,LUCMA ,3
138,14,MUSGA ,3
139,14,PISCOBAMBA ,3
140,15,BOLOGNESI ,3
141,15,CABANA ,3
142,15,CONCHUCOS ,3
143,15,HUACASCHUQUE ,3
144,15,HUANDOVAL ,3
145,15,LACABAMBA ,3
146,15,LLAPO ,3
147,15,PALLASCA ,3
148,15,PAMPAS ,3
149,15,SANTA ROSA ,3
150,15,TAUCA ,3
151,16,HUAYLLÁN ,3
152,16,PAROBAMBA ,3
153,16,POMABAMBA ,3
154,16,QUINUABAMBA ,3
155,17,ACOBAMBA ,3
156,17,ALFONSO UGARTE ,3
157,17,CASHAPAMPA ,3
158,17,CHINGALPO ,3
159,17,HUAYLLABAMBA ,3
160,17,QUICHES ,3
161,17,RAGASH ,3
162,17,SAN JUAN ,3
163,17,SICSIBAMBA ,3
164,17,SIHUAS ,3
165,18,CARAZ ,3
166,18,HUALLANCA ,3
167,18,HUATA ,3
168,18,HUAYLAS ,3
169,18,MATO ,3
170,18,PAMPAROMÁS ,3
171,18,PUEBLO LIBRE ,3
172,18,SANTA CRUZ ,3
173,18,SANTO TORIBIO ,3
174,18,YURACMARCA ,3
175,19,CASCAPARA ,3
176,19,MANCOS ,3
177,19,MATACOTO ,3
178,19,QUILLO ,3
179,19,RANRAHIRCA ,3
180,19,SHUPLUY ,3
181,19,YANAMA ,3
182,19,YUNGAY ,3
183,20,COCHABAMBA ,3
184,20,COLCABAMBA ,3
185,20,HUANCHAY ,3
186,20,HUARAZ ,3
187,20,INDEPENDENCIA ,3
188,20,JANGAS ,3
189,20,LA LIBERTAD ,3
190,20,OLLEROS ,3
191,20,PAMPAS GRANDE ,3
192,20,PARIACOTO ,3
193,20,PIRA ,3
194,20,TARICA ,3
195,21,ABELARDO  PARDO ,3
196,21,LEZAMETA ,3
197,21,ANTONIO RAYMONDI ,3
198,21,AQUIA ,3
199,21,CAJACAY ,3
200,21,CANIS ,3
201,21,CHIQUIÁN ,3
202,21,COLQUIOC ,3
203,21,HUALLANCA ,3
204,21,HUASTA ,3
205,21,HUAYLLACAYÁN ,3
206,21,LA PRIMAVERA ,3
207,21,MANGAS ,3
208,21,PACLLÓN ,3
209,21,SAN  MIGUEL DE CORPANQUI ,3
210,21,TICLLOS ,3
211,22,CÁTAC ,3
212,22,COTAPARACO ,3
213,22,HUAYLLAPAMPA ,3
214,22,LLACLLIN ,3
215,22,MARCA ,3
216,22,PAMPAS CHICO ,3
217,22,PARARÍN ,3
218,22,RECUAY ,3
219,22,TAPACOCHA ,3
220,22,TICAPAMPA ,3
221,23,AIJA ,3
222,23,CORIS ,3
223,23,LA MERCED ,3
224,23,HUACLLÁN ,3
225,23,SUCCHA ,3
226,24,ACAS ,3
227,24,CAJAMARQUILLA ,3
228,24,CARHUAPAMPA ,3
229,24,CONGAS ,3
230,24,LLIPA ,3
231,24,OCROS ,3
232,24,SAN CRISTÓBAL DE RAJÁ,3
233,24,SANTIAGO DE CHILCAS ,3
234,24,COCHAS ,4
235,24,SAN PEDRO ,4
236,25,COCHAPETI ,3
237,25,HUAYÁN ,3
238,25,MALVAS ,3
239,25,CULEBRAS ,4
240,25,HUARMEY ,4
241,26,CÁCERES DEL PERÚ ,3
242,26,MACATE ,3
243,26,MORO ,3
244,26,CHIMBOTE ,4
245,26,COISHCO ,4
246,26,NEPEÑA ,4
247,26,NUEVO CHIMBOTE ,4
248,26,SAMANCO ,4
249,26,SANTA ,4
250,27,BUENA VISTA ALTA ,4
251,27,CASMA ,4
252,27,COMANDANTE NOÉL ,4
253,27,YAUTÁN ,4
254,28,CHALLHUAHUACHO ,2
255,28,COTABAMBAS ,2
256,28,COYLLURQUI ,2
