Id,Id Provincia,Distrito,Zona sismica,Latitud,Longitud
1,1,ASUNCIÓN ,2,-5.9950059,-77.7544069
2,1,BALSAS ,2,-6.8355968,-78.018516
3,1,CHACHAPOYAS ,2,-6.3718272,-77.8093378
4,1,CHETO ,2,-6.2553433,-77.7005901
5,1,CHILIQUÍN ,2,-6.0798116,-77.7560102
6,1,CHUQUIBAMBA ,2,-6.9347224,-77.8546995
7,1,GRANADA ,2,-6.1066744,-77.6282412
8,1,HUANCAS ,2,-6.1737297,-77.8647931
9,1,LA JALCA ,2,-6.4845144,-77.8154878
10,1,LEIMEBAMBA ,2,-6.7079646,-77.8043876
11,1,LEVANTO ,2,-6.3082358,-77.899056
12,1,MAGDALENA ,2,-6.3726216,-77.901915
13,1,MARISCAL CASTILLA ,2,-6.5823766,-77.7698162
14,1,MOLINOPAMPA ,2,-6.208833,-77.6692964
15,1,MONTEVIDEO ,2,-6.6182405,-77.8024123
16,1,OLLEROS ,2,-6.0025798,-77.6766833
17,1,QUINJALCA ,2,-6.0991376,-77.6739119
18,1,SAN  FRANCISCO  DE DAGUAS ,2,-6.228968,-77.7329893
19,1,SAN ISIDRO DE MAINO ,2,-6.3494721,-77.8387903
20,1,SOLOCO ,2,-6.2603269,-77.7447758
21,1,SONCHE ,2,-6.1742436,-77.7879257
22,2,ARAMANGO ,2,-5.4166377,-78.4380835
23,2,BAGUA ,2,-5.0414506,-78.3903932
24,2,COPALLÍN ,2,-5.6748583,-78.4229173
25,2,EL PARCO ,2,-5.6251674,-78.4756715
26,2,IMAZA ,2,-4.9924016,-78.3829771
27,2,LA PECA ,2,-5.6122226,-78.4373718
28,3,CHISQUILLA ,2,-5.902208,-77.7276305
29,3,CHURUJA ,2,-6.0100117,-77.9273373
30,3,COROSHA ,2,-5.8227256,-77.8023293
31,3,CUISPES ,2,-5.909203,-77.9143124
32,3,FLORIDA ,2,-5.8262269,-77.9691875
33,3,JAZÁN ,2,-5.9406895,-78.0214318
34,3,JUMBILLA ,2,-5.9043393,-77.7980217
35,3,RECTA ,2,-5.9363559,-77.7740986
36,3,SAN CARLOS ,2,-6.0066058,-77.8554794
37,3,SHIPASBAMBA ,2,-5.9099591,-77.9808638
38,3,VALERA ,2,-6.0783357,-77.8704203
39,3,YAMBRASBAMBA ,2,-5.4705272,-77.8483829
40,4,EL CENEPA ,2,-4.0445016,-78.3559023
41,4,NIEVA ,2,-4.8986276,-77.953714
42,4,RÍO SANTIAGO ,2,-3.7542916,-77.9181529
43,5,CAMPORREDONDO ,2,-6.2152175,-78.3203232
44,5,COCABAMBA ,2,-6.6323195,-78.0132333
45,5,COLCAMAR ,2,-6.2988616,-77.9726865
46,5,CONILA ,2,-6.1153759,-78.2132816
47,5,INGUILPATA ,2,-6.2547417,-78.0130499
48,5,LÁMUD ,2,-6.1390013,-77.9519237
49,5,LONGUITA ,2,-6.4030263,-78.0036764
50,5,LONYA CHICO ,2,-6.2071724,-78.0366728
51,5,LUYA ,2,-6.2988616,-77.9726865
52,5,LUYA VIEJO ,2,-6.1038992,-78.1323497
53,5,MARÍA ,2,-6.4293408,-77.9603576
54,5,OCALLI ,2,-6.2353261,-78.2685931
55,5,OCUMAL ,2,-6.3544697,-78.1493139
56,5,PISUQUIA ,2,-6.4703841,-78.0920018
57,5,PROVIDENCIA ,2,-6.315809,-78.2931775
58,5,SAN CRISTÓBAL ,2,-6.0777959,-77.9467902
59,5,SAN  FRANCISCO  DEL YESO ,2,-6.6274101,-77.8624737
60,5,SAN JERÓNIMO ,2,-6.0036035,-78.0641406
61,5,SAN  JUAN ,2,-4.3595969,-77.694981
62,5,LOPECANCHA ,2,-6.4795147,-77.9026638
63,5,SANTA CATALINA ,2,-6.077409,-78.0957726
64,5,SANTO TOMÁS ,2,-6.5731418,-77.8656837
65,5,TINGO ,2,-6.3903984,-77.9416773
66,5,TRITA ,2,-6.1555302,-77.9810816
67,5,BAGUA GRANDE ,2,-5.754216,-78.4421686
68,5,CAJARURO ,2,-5.7369151,-78.4299829
69,5,CUMBA ,2,-5.9356569,-78.6640646
70,5,EL MILAGRO ,2,-5.6376206,-78.55816
71,5,JAMALCA ,2,-5.8942887,-78.2383681
72,5,LONYA GRANDE ,2,-6.0965677,-78.4213209
73,5,YAMÓN ,2,-6.0077734,-78.5259826
74,7,CHIRIMOTO ,2,-6.5396037,-77.4200595
75,7,COCHAMAL ,2,-6.4088881,-77.5775042
76,7,HUAMBO ,2,-6.4289457,-77.5378361
77,7,LIMABAMBA ,2,-6.498057,-77.4985751
78,7,LONGAR ,2,-6.3854681,-77.546239
79,7,MARISCAL BENAVIDES ,2,-6.3866552,-77.5039959
80,7,MILPUC ,2,-6.4986968,-77.4400442
81,7,OMIA ,2,-6.4034053,-77.3479863
82,7,SAN NICOLÁS ,2,-6.3717523,-77.4542606
83,7,SANTA ROSA ,2,-6.4531491,-77.4553291
84,7,TOTORA ,2,-6.4927301,-77.4719348
85,7,VISTA ALEGRE ,3,-6.1502716,-77.3033308
86,8,CHACCHO ,2,-9.0597018,-77.0586936
87,8,CHINGAS ,2,-9.1190452,-76.9914793
88,8,LLAMELLÍN ,2,-9.1010476,-77.0168087
89,8,ACZO ,3,-9.151694,-76.9906529
90,8,MIRGAS ,3,-9.0784275,-77.0922766
91,8,SAN JUAN DE RONTOY ,3,-9.1752222,-77.0025089
92,9,ANRA ,2,-9.2336063,-76.9258158
93,9,HUACACHI ,2,-9.3157113,-76.9387603
94,9,HUACCHIS ,2,-9.2008287,-76.7867548
95,9,PAUCAS ,2,-9.1526632,-76.8991447
96,9,RAPAYAN ,2,-9.2025415,-76.7592291
97,9,UCO ,2,-9.1883438,-76.9284693
98,9,CAJAY ,3,-9.3276159,-77.1587899
99,9,CHAVÍN DE HUÁNTAR ,3,-9.5886299,-77.177664
100,9,HUACHIS ,3,-9.4096271,-77.1002734
101,9,HUÁNTAR ,3,-9.4519782,-77.1763553
102,9,HUARI ,3,-9.4081948,-77.1340513
103,9,MASÍN ,3,-9.3656974,-77.0966764
104,9,PONTO ,3,-9.3258105,-77.0043962
105,9,RAHUAPAMPA ,3,-9.3591241,-77.0785439
106,9,SAN MARCOS ,3,-9.5241213,-77.1572073
107,9,SAN PEDRO DE CHANA ,3,-9.4714912,-76.98964
108,10,ACOCHACA ,3,-9.1148297,-77.3681041
109,10,CHACAS ,3,-9.1620773,-77.3660887
110,11,ACOPAMPA ,3,-9.2903458,-77.6090668
111,11,AMASHCA ,3,-9.2392254,-77.6466529
112,11,ANTA ,3,-9.3610845,-77.6013301
113,11,ATAQUERO ,3,-9.2594018,-77.7070475
114,11,CARHUAZ ,3,-9.3610845,-77.6013301
115,11,MARCARÁ ,3,-9.3225999,-77.6039415
116,11,PARIAHUANCA ,3,-9.3650327,-77.5806762
117,11,SAN MIGUEL DE ACO ,3,-9.3427297,-77.4300747
118,11,SHILLA ,3,-9.2314633,-77.6251464
119,11,TINCO ,3,-9.2705841,-77.6778452
120,11,YUNGAR ,3,-9.3778144,-77.5922693
121,12,SAN LUIS ,3,-9.0943804,-77.3291264
122,12,SAN NICOLÁS ,3,-8.9758539,-77.1894251
123,12,YAUYA ,3,-9.0275719,-77.2472971
124,13,ACO ,3,-8.5180029,-77.8833935
125,13,BAMBAS ,3,-8.6023811,-77.9956254
126,13,CORONGO ,3,-8.5784215,-77.8577651
127,13,CUSCA ,3,-8.5265092,-77.7836968
128,13,LA PAMPA ,3,-8.6605429,-77.9030569
129,13,YÁNAC ,3,-8.6219932,-77.8528068
130,13,YUPÁN ,3,-8.6147333,-77.9687346
131,14,CASCA ,3,-8.8546476,-77.3991666
132,14,ELEAZAR BARRÓN GUZMÁN ,3,-8.8879307,-77.2183419
133,14,FIDEL  OLIVAS ,3,-8.7823714,-77.2931539
134,14,ESCUDERO ,3,-8.7823714,-77.2931539
135,14,LLAMA ,3,-8.9152478,-77.3014615
136,14,LLUMPA ,3,-8.9607926,-77.367346
137,14,LUCMA ,3,-8.9193949,-77.4109816
138,14,MUSGA ,3,-8.9062664,-77.3388863
139,14,PISCOBAMBA ,3,-8.8652705,-77.3576423
140,15,BOLOGNESI ,3,-10.0896026,-77.0596571
141,15,CABANA ,3,-8.3929196,-78.0090747
142,15,CONCHUCOS ,3,-8.2672086,-77.8536168
143,15,HUACASCHUQUE ,3,-8.3064787,-78.0043934
144,15,HUANDOVAL ,3,-8.3309043,-77.9750136
145,15,LACABAMBA ,3,-8.2604681,-77.8982661
146,15,LLAPO ,3,-8.514201,-78.041532
147,15,PALLASCA ,3,-8.333333,-77.916667
148,15,PAMPAS ,3,-8.1950956,-77.8957296
149,15,SANTA ROSA ,3,-8.5270766,-78.0672625
150,15,TAUCA ,3,-8.4700269,-78.0378275
151,16,HUAYLLÁN ,3,-8.8581048,-77.4357709
152,16,PAROBAMBA ,3,-8.6958388,-77.4300193
153,16,POMABAMBA ,3,-8.6999269,-77.440348
154,16,QUINUABAMBA ,3,-8.6971912,-77.3984743
155,17,ACOBAMBA ,3,-8.3261608,-77.5817182
156,17,ALFONSO UGARTE ,3,-8.4732866,-77.481472
157,17,CASHAPAMPA ,3,-8.5609487,-77.6528192
158,17,CHINGALPO ,3,-8.3387758,-77.5973209
159,17,HUAYLLABAMBA ,3,-8.5345307,-77.5670096
160,17,QUICHES ,3,-8.3950277,-77.4907
161,17,RAGASH ,3,-8.5319341,-77.6659419
162,17,SAN JUAN ,3,-8.6691267,-77.6263344
163,17,SICSIBAMBA ,3,-8.6239421,-77.5786158
164,17,SIHUAS ,3,-8.4877759,-77.5569916
165,18,CARAZ ,3,-9.0485895,-77.808722
166,18,HUALLANCA ,3,-9.8993086,-76.94166
